class_id,object_count,black,blue,brown,gray,green,orange,pink,purple,red,white,yellow
/m/011k07,2206060,40068,2841,6656,336,20228,82,234,0,5132,3924,3876
/m/01205h,4767147,2489,109,3150,314,3690,0,0,0,5926,9752,2109
/m/0120dh,3532577,4645,0,368,0,342792,0,0,0,304,456,0
/m/01226z,41995443,46696,8376,19824,3838,13168,3469,2144,844,14082,26684,4224
/m/012n7d,3991567,4396,1560,196,1533,2060,708,0,0,4148,25145,3622
/m/012w5l,3694366,11364,2348,478,478,5716,556,174,178,23232,16139,3504
/m/012xff,284908,1764,5920,321,640,3996,560,13305,1442,5841,1932,2644
/m/0130jx,14459374,5262,6958,17749,3187,7509,975,3830,558,4799,32341,3366
/m/0138tl,10244429,11651,9892,3333,1188,9939,1510,7246,2528,23445,22802,9590
/m/01432t,377770,0,0,0,0,0,0,0,0,0,0,0
/m/014j1m,30835840,31925,22227,82624,5303,978011,30026,21538,6153,965885,116638,114337
/m/014sv8,6129649,0,2112,1376,0,440,0,0,0,0,0,0
/m/014trl,6520306,13451,1172,2952,1506,2872,94,1408,94,4544,8315,2136
/m/014y4n,14697506,5092,3165,648,288,2449,1009,652,0,8644,6380,3534
/m/0152hh,431081,5324,1030,0,308,220,0,276,0,440,2908,208
/m/01599,15969136,77382,4844,52822,324,52409,3701,756,572,21174,71176,8168
/m/015qbp,1771628,0,0,0,0,0,0,0,0,0,0,0
/m/015qff,4300518,0,0,0,0,87548,1912,0,0,140183,0,24108
/m/015w7p,1346563,1336,560,1608,480,8245,2929,1084,11416,2576,18394,1614
/m/015wgc,202286,0,0,488,0,0,0,0,0,0,0,0
/m/015x4r,2383028,1696,644,1152,0,65351,1210,540,0,1512,8969,11405
/m/015x5n,1990232,0,0,0,0,0,0,0,0,0,0,0
/m/0162_1,5827056,14494,67278,14592,6886,38006,8720,40032,8536,31823,430914,29481
/m/0163q8,465324,208,236,0,0,288,440,111948,0,1892,0,0
/m/01645p,1154972,1488,821,264,0,9735,1788,0,164,232,0,176
/m/0167gd,6890895,128219,10470,20038,921,4472,416,11981,696,8588,116531,8702
/m/016m2d,4059029,142830,8602,9394,5188,10062,1124,8880,3339,67682,119157,21720
/m/016rh7,0,0,0,0,0,0,0,0,0,0,0,0
/m/0174k2,4139879,368,0,0,0,632,0,0,0,0,4128,0
/m/0174n1,35526735,439876,34071,44287,49815,44856,8160,19308,18670,75783,1470972,133056
/m/0176mf,22366050,2435200,73742,134645,11871,2012446,122962,8105,20534,184193,243307,61526
/m/017ftj,375993,79536,11869,2966,1120,9145,2137,8725,4979,6868,7521,6219
/m/018xm,34374614,1165101,475219,58864,37862,268288,156393,56210,29471,1488119,1039837,228809
/m/01940j,422391,31921,21722,2425,2497,16938,6442,14109,7927,18976,1206,5828
/m/0199g,5303566,20150,24722,536,988,18149,2751,10422,2804,43857,21436,9400
/m/019h78,285751,6608,832,2548,180,2132,822,186,220,3108,1812,1648
/m/019jd,21580483,97956,66773,13691,12446,61173,11040,3792,2624,73406,153358,28018
/m/019jw,49709660,850729,712642,50333,4586,78437,13155,17725,85522,17147258,7546346,34298
/m/019w40,90915,266,944,0,0,452,693,590,0,900,1182,1798
/m/01_5g,110961,1952,960,0,0,212,0,0,0,2672,272,0
/m/01b5dy,4671399,103776,26852,9404,10586,286095,812,6662,14205,33342,269331,17746
/m/01b638,9237797,973717,32555,208781,8678,30953,4484,19296,15768,159908,125970,100337
/m/01b7fy,2425887,3040,832,270,0,720,573,940,296,1600,4414,1236
/m/01b92,25119711,87324,12704,21384,13378,136167,628,4024,720,319160,479394,72754
/m/01b9xk,5026150,368,0,788,376,1524,0,1272,0,2250,1708,664
/m/01bfm9,74651283,182791,187781,99035,142481,76783,17420,50664,13880,146671,438593,47551
/m/01bhhn,213899,0,0,0,0,0,0,0,0,0,0,0
/m/01bjv,26443376,39824,103633,8778,14608,92998,15664,4796,3886,139410,106570,150299
/m/01bms0,310568,0,0,0,0,236,0,0,0,548,0,636
/m/01bqk0,416070,0,0,0,0,0,0,0,0,0,0,0
/m/01bqvp,12426915,898545,12927407,18703,961545,159305,99221,96732,199065,542602,297073,223153
/m/01c648,482695,7548,784,0,1096,490,286,2236,250,722,2242,0
/m/01cbb3,4865963,3509,588,1130,0,17117,3357,1112,3732,386772,53379,18420
/m/01cbzq,89175417,3990433,565957,314806,657095,324734,26710,76959,60608,3177921,2619811,161807
/m/01cmb2,21130,30318,5038,670,626,3957,1438,5566,2369,10552,7964,2092
/m/01d380,23837768,12343,22851,9418,5710,6512,0,284,0,1598,101697,880
/m/01d40f,16202876,2887239,1705963,278275,241914,784388,68254,654841,204580,1336861,3078746,495092
/m/01dws,87771280,4225543,66427,1955477,35313,39031,12483,28802,10188,145506,1732995,89305
/m/01dwsz,1120798,976,848,4576,454,368,1058,404,253,448,3184,368
/m/01dwwc,5525715,5149,1601,9627,700,2829,4400,1415,634,919,9041,2614
/m/01dxs,1955477,0,0,0,0,0,0,0,0,0,0,0
/m/01dy8n,1738084,74988,552,4160,1316,192432,0,0,368,8698,11064,3632
/m/01f8m5,2093623,0,0,0,0,0,0,0,0,0,0,0
/m/01f91_,1356700,0,0,410,0,0,0,0,0,0,168,0
/m/01fb_0,405247,0,0,330,0,1954,0,0,0,0,1830,0
/m/01fdzj,43072012,193222,42503,18881,128569,32621,6155,19558,5436,159360,893509,25448
/m/01fh4r,724617,16965,17406,35888,284,5276,408,1132,178,6857,13406,4222
/m/01fp9,17048637,2018988,25285,108554,3300,4013016,3154,64597,19304,675999,1072070,120051
/m/01gllr,706864,4140,2700,1132,986,336,594,400,216,2544,4432,2128
/m/01h3n,16915890,274860,12752,60662,3908,28612,1286,1820,2352,18847,37935,76298
/m/01h8tj,377014,950,7408,1271,0,1240,4691,4488,6353,8321,2042,1692
/m/01hrv5,3755069,1501,1008,300,216,1432,444,4081,454,2553,12950,6351
/m/01j3zr,81102,0,0,0,0,204,0,0,0,0,0,0
/m/01j4z9,186977,0,0,0,0,0,260,0,0,0,0,224
/m/01j51,3419619,36959,79485,3256,3362,36747,18916,41625,15661,225456,74519,65840
/m/01j5ks,2139568,1210,208,0,324,272,0,0,0,488,0,640
/m/01j61q,4845688,277247,73378,32306,10594,96181,16362,5930,11210,88264,433513,25064
/m/01jfsr,3037876,29981,58951,1519,4688,273769,10180,3871,3093,503798,84683,39513
/m/01jy1_,477420,0,500,0,0,3509,11016,0,0,1844,0,524
/m/01k6s3,296937,284,224,0,0,0,0,180,0,480,560,240
/m/01kb5b,6882457,9360,3468,0,276,2520,1188,688,296,15704,3472,3980
/m/01knjb,1638691,1680,2044,0,0,1168,472,556,0,2668,4684,2568
/m/01krhy,311199,1176,596,0,0,1352,0,1676,590,1880,3572,448
/m/01lbxg,11286641,17759,1616,79931,1446,65325,10040,1522,4722,12967,22716,19991
/m/01lcw4,612189,265585,9764,1468,7310,4532,0,1836,780,5772,41134,4454
/m/01llwg,916151,18790,15142,1446,288,11910,1108,2864,2009,17242,15445,4317
/m/01lsmm,1306233,3330,565,0,0,12062,480,4694,194,3024,1438,468
/m/01m2v,725783,0,0,0,0,0,0,0,0,0,0,0
/m/01m4t,67868319,33900,53125,2312,592,7420,0,0,0,4002,64990,10526
/m/01mqdt,1632116,0,424,0,0,1008,0,0,0,924,1032,2264
/m/01mt0b,14057613,61750,62670,151532,172981,59818,6021,11441,515,22851,367233,27849
/m/01mzpv,51178522,93720,123493,53009,15872,134137,32027,20463,15962,179565,117913,62672
/m/01n4qj,5560530,834600,1507359,314191,153627,363522,70260,275772,99836,1218260,5492447,280198
/m/01n5jq,27698977,22404,21168,3520,982,14868,6692,5302,2202,36975,78204,35824
/m/01nkt,10378058,4144,1049328,13108,1318,321882,20979,2096,566,16028,258318,90052
/m/01nl4x,5970087,0,0,0,0,0,0,0,0,7380,0,432
/m/01nq26,1521074,216022,93065,40042,34774,51983,16563,43873,30354,138047,573943,37750
/m/01pd2g,8860764,632438,12882,420,0,2180,7534,3222,78884,1098724,12138,24232
/m/01pns0,2451951,0,456,0,0,0,424,0,0,4362,544,5092
/m/01qfcj,6737418,0,0,1328,0,0,768,0,0,0,0,0
/m/01r546,335711,7998,9336,248,0,11542,1358,3956,2194,12021,6468,5262
/m/01rkbr,81170938,1035931,293470,52231,46260,129598,38189,44269,41709,491187,672920,85858
/m/01s55n,343575,64412,34845,48742,5032,20872,1880,12456,3679,31685,6084,7288
/m/01sy7,102782241,610984,46913,2961467,24385,88001,12506,1553,388,218131,318722,13228
/m/01tcjp,1027024,1535,2566,2308,0,0,15100,0,0,134,2300,600
/m/01x3jk,670029,2458,1108,0,0,274,550,0,108,1272,286,980
/m/01x3z,10076359,31113,10751,4606,1226,10163,1880,2778,912,16175,31674,5752
/m/01x_v,3508457,48060,3248,12577,1916,4944,252,1088,1528,18634,64591,7167
/m/01xq0k1,20714865,541872,17331,39680,6536,11250,792,0,262,102069,190997,21290
/m/01xygc,32739762,2115340,1859534,769856,344784,608202,31392,99654,65905,1617074,2190380,180622
/m/01xyhv,16182736,1854183,1437259,550502,943754,226685,35020,80633,47530,275217,780298,70845
/m/01y9k5,46308455,38880,5422,21841,14853,17018,1092,1918,610,8396,29532,5280
/m/01yrx,35418498,2630951,135253,40373,220193,50424,97277,14432,13862,75208,827536,215595
/m/01yx86,528236,0,0,0,0,0,0,0,0,0,0,0
/m/01z1kdw,4876000,37274,18516,46558,604,128414,9568731,20292,45826,175946,64752,54410
/m/02068x,3010416,31198,720,244,0,736,0,0,0,2228,1988,1000
/m/020jm,4093197,471701,56972,124585,9884,82140,5221,1364,2359,36897,9042,27155
/m/020kz,17165732,31198,2154,4702,838,3216,114,360,0,7487,6091,1134
/m/020lf,287088,0,0,0,0,0,0,0,0,0,0,0
/m/020vl,7143802,20581,2454,23920,582,4332,15891,2618,1172,9392,837743,2128
/m/021mn,3594995,2216,2016,9101,212,3032,10592,3300,308,1900,20738,1971
/m/0242l,12969073,15612,6748,10369,1706,12822,1288,760,2752,12727,16792,28276
/m/024d2,2206871,504,0,0,0,0,0,0,0,0,0,248
/m/024g6,1943585,79140,18358,1019,548,12254,5710,12620,2498,19462,10838,5032
/m/02522,1304211,744,0,0,0,0,0,0,0,0,632,0
/m/025dyy,194104927,5542434,568686,142599,238388,515663,145046,63432,28950,541921,793040,260332
/m/025fsf,251061,744,308,0,0,244,0,268,0,2352,0,0
/m/025nd,9934764,2120,4692,788,0,22014,464,3704,628,5976,17857,1008
/m/025rp__,1265020,126424,3240,18332,7844,1848,700,7936,1148,6760,79920,1048
/m/026t6,9225491,155008,10226,2552,3004,6336,11246,996,436,441783,12556,12893
/m/0270h,1885233,676,1422,750,0,2736,4969,1464,496,13618,15573,1796
/m/0271t,58049389,102091,13963,10351,268,65108,196669,27325,5571,31276,18028,8051
/m/027pcv,490190,3884,0,432,0,19640,889,0,0,0,604,9538
/m/027rl48,1074731,680,0,0,962,956,0,0,0,700,2881,200
/m/0280yrc,722197,141868,15704,1350,5005,3661,418,2498,2023,4926,77123,910
/m/029b3,2072952,9274,2740,2997,0,4639,680,1024,332,15363,13126,1778
/m/029bxz,46825948,7754,2440,1090,202,3268,513,1178,208,42036,4408,853
/m/029tx,1954250,4167,3874,380,564,12039,1298,2481,31075,2722,1200,4309
/m/02_41,686321748,248345,415819,26135,28131,418929,88017,12886,50655,714958,431722,95807
/m/02c66t,1959144,6504,5792,576,392,1712,0,3272,708,4292,140145,3100
/m/02crq1,3545623,21954,58806,39488,12518,61774,14189,8596,23635,49089,76335,14569
/m/02d1br,259024,500,172,442,0,266,0,188,0,368,724,192
/m/02d9qx,112304,0,0,0,0,0,0,0,0,0,0,0
/m/02ddwp,653992,0,0,0,0,0,0,0,0,0,0,0
/m/02dgv,18907211,247524,241939,74028,38000,486868,16898,21884,23776,352631,249543,77981
/m/02dl1y,98315268,1910257,243079,226350,172969,360522,47448,87204,65096,1907047,1327357,218663
/m/02dmz4,6357043,0,0,0,0,0,1676,0,0,228,3546,9512
/m/02fh7f,2260026,744,568,0,912,1772,0,14316,0,3552,5217,244
/m/02fq_6,967812,56183,2634,25740,42196,6346,248,742,1066,2660,11682,1190
/m/02g30s,408035,0,0,0,0,1004,0,0,0,0,0,0
/m/02g387,202807673,86804,215905,399619,16687,303042,29505,31322,37659,116778,1161019,193966
/m/02g7g2,2089862,292,920,262,0,120180,721,0,4338,1436,114809,428
/m/02gzp,997690,42034,4884,516,1570,3738,468,224,448,13267,7496,1696
/m/02h19r,348789,0,0,0,0,0,0,0,0,0,0,0
/m/02hj4,4087432,17968,192424,554,5582,77596,1064,27659,1175,5034,41124,2099
/m/02jfl0,15879,4436,0,316,0,0,0,0,0,232,1942,0
/m/02jnhm,4661849,2128,1480,0,528,1064,0,0,0,1276,2328,1232
/m/02jvh9,1168726,11168,36897,18684,1346,9342,1970,3816,1818,13820,73917,12290
/m/02mqfb,1074095,0,0,0,0,0,0,0,0,0,0,0
/m/02p5f1q,3613768,2504,4648,1776,0,1984,0,408,0,1044,17904,1864
/m/02pdsw,1401797,0,0,0,0,0,0,0,0,0,0,0
/m/02pv19,3169000,360,0,0,0,624,0,0,0,25895,2640,2548
/m/02qv1,10173321,3731,7290,682,0,97680,168,895,0,6153,3070,2901
/m/02rgn06,748306,252,208,0,0,0,0,208,0,0,904,168
/m/02s195,7680747,46951,132226,8790,4034,59984,3484,11646,9320,34888,96494,19122
/m/02v3z_,61516,0,0,0,0,0,0,0,0,0,0,4604
/m/02vqfm,19323915,1832935,13928,33530,2170,824339,17070,1820,924,20982,86101,6725
/m/02vwcm,1931257,1008,0,636,0,370,0,0,0,1476,4792,0
/m/02w3r3,5342986,0,5112,32004,0,2944,0,368,0,0,35184,648
/m/02wbtzl,268824,1416,1688,0,0,1976,560,2648,0,900,12176,3664
/m/02wg_p,1380665,0,0,0,0,0,0,0,0,0,0,0
/m/02wmf,139020,0,0,0,0,0,0,0,0,0,0,0
/m/02wv6h6,1773882,759841,368064,102503,105539,154935,17055,84657,42289,232702,335922,68689
/m/02wv84t,1929099,1488,0,0,0,424,0,0,0,0,8288,0
/m/02xcpb,221241,920,1604,0,0,5200,2707,2736,1726,13410,1294,2214
/m/02xwb,287390085,396561,77455,84805,5848,1108966,268355,48492,173930,1011432,168847,448365
/m/02y6n,2736241,0,0,1517,0,0,0,0,0,0,0,0
/m/02z51p,11788,444,0,256,0,0,0,0,0,204,1628,0
/m/02zn6n,6027044,54083,59722,22737,5344,10184,11312,668,1346,40452,14696,8255
/m/02zt3,2307637,126749,26667,4946,752,5410,1916,2556,1485,167869,10688,10311
/m/030610,266586,0,0,0,0,0,0,0,0,0,0,0
/m/0306r,78620300,527292,379573,158679,688696,10038,2594,2976,7154,2213644,440727,29844
/m/03120,89780242,1104223,834032,8548,13570,572108,83935,21251,28694,6476159,2943952,474599
/m/031b6r,586305,320,696,0,0,9308,0,384,0,468,2756,908
/m/0323sq,1156457,612,1232,0,0,1452,0,1172,0,916,4620,1020
/m/032b3c,4959165,508385,1063774,166130,140335,453465,42086,58668,33055,1390593,726134,977706
/m/033rq4,2913336,0,2588,0,0,964,10696,0,0,652,2728,14988
/m/0342h,18359108,12740,249385,2174,346,3092,588,9091,1134,10980,7748,2220
/m/034c16,26613677,13406,25888,5248,5222,25594,5506,22592,11028,35839,222267,13692
/m/036knn,4207056,5368,7033,11148,5898,13520,2721,3558,1243,8299,14527,6011
/m/0388q,40756867,340526,67021,4628,898,273431,9138,6632,287442,480260,746738,20172
/m/03_0x5,7365900,6252,672,9804,3548,70780,208,1064,0,3076,849,6734
/m/03__z0,376337,3386,632,1610,306,1000,0,232,0,1344,7965,600
/m/03bj1,2434485,744,2402,0,0,244,0,4104,1944,115721,5444,0
/m/03bk1,2605229,872,4148,590,0,2158,1082,4012,2643,1994,13676,3757
/m/03c7gz,2796204,4420,0,0,0,0,0,0,0,0,0,0
/m/03d443,793725,178717,684,382,290,468,0,936,656,932,158795,524
/m/03fj2,2634381,4204,680,368,324,254,3474,220,0,3265,1318,764
/m/03fp41,61180,0,0,0,0,1538,0,0,0,0,0,0
/m/03fwl,40364301,199391,13374,25626,9473,6807,446,752,2428,26967,236177,16482
/m/03g8mr,1878030,1768,536,0,0,0,0,0,0,504,0,640
/m/03gq1,9526339,2538,1472,3964,192230,403398,280,728,1480,3868,5428,3576
/m/03grzl,300124,504,0,320,0,0,0,0,0,0,0,0
/m/03hj559,2857771,0,0,0,0,0,0,0,0,0,0,0
/m/03jbxj,2626704,0,488,0,0,2540,0,0,0,3042,2320,0
/m/03jm5,809964321,314943,371940,475702,248414,1288039,34866,204421,26594,1417706,76353510,545136
/m/03k3r,39517410,2782663,155154,413553,660886,133491,12095,33809,10217,715298,6533870,139974
/m/03kt2w,172379,0,0,0,0,0,0,0,0,0,0,0
/m/03ldnb,1466399,1600,0,424,0,0,0,0,0,0,5712,0
/m/03m3pdh,447222,0,520,0,0,980,0,0,0,0,0,0
/m/03nfch,872520,50815,12957,32400,912,9727,1726,11563,5749,94985,114654,20956
/m/03p3bw,267181,424,0,0,0,0,0,680,0,0,884,0
/m/03q5c7,725060,7516,18834,3978,928,7232,832,9980,748,4522,44245,5020
/m/03q69,2023085,8992,0,5948,7092,0,0,0,0,1792,3024,0
/m/03qmh,12632663,22454,6797,20588,495,13240,41721,1759,2780,12996,140717,30030
/m/03qrc,7284066,2976,0,1252,2351,0,0,312,0,0,5228,0
/m/03rszm,5914832,397323,234102,48568,67522,402452,34565,56296,105180,472895,641772,129634
/m/03s_tn,3164479,417178,6806,720,212,1212,256,0,0,18649,2149,2994
/m/03ssj5,26099319,91311,93068,67004,85696,164932,6085,53741,38409,1870833,538308,57945
/m/03tw93,16510245,9170,576,304,392,756,184,310,0,1228,9632,316
/m/03txqz,50864586,959243,273353,757779,1254131,206501,61531,16235,216842,722600,1098880,349914
/m/03v5tg,322890,0,0,0,0,0,0,0,0,0,0,0
/m/03wvsk,1988400,0,0,0,0,0,0,624,0,82,0,0
/m/03xgl,7695083,78805,3985,3806,1102,10262,194,9854,257,11629,113869,38900
/m/03yhk,7397658,3140552,649476,1071708,35368,308191,14035,18776,172565,3124332,169989,72098
/m/040b_t,10878505,2936,1080,1620,334,5980,1518,2488,0,2112,24412,4126
/m/0420v5,89782,728,0,0,0,0,0,0,0,552,0,0
/m/0440zs,363188,0,0,0,0,0,0,0,0,0,0,0
/m/0449p,2699009,79085,16572,1874,4990,25328,0,920,314,35576,24936,9098
/m/044r5d,2893561,2344,1576,872,0,3928,6252,2528,880,2464,15624,3488
/m/046dlr,3211260,2032,1320,0,0,1848,0,1144,0,1516,1648,608
/m/047j0r,5305787,6672,904,912,10244,6168,0,0,0,0,1432,0
/m/047v4b,832610,0,0,272,0,6888,0,0,3658,542,1672,0
/m/04_sv,3015271,48328,4572,680,636,2948,708,1072,964,16546,8276,2804
/m/04bcr3,681607971,150168,53908,59473,17379,329401,12949,16727,6317,238792,573448,49169
/m/04c0y,1886762,7470,8678,2728,34884,11718,684,811,1717,243972,9021,1663
/m/04cp_,330886,0,296,200,256,0,0,368,0,0,336,0
/m/04ctx,5518002,50866,7228,2434,828,5625,2850,1130,344,40648,26680,53856
/m/04f5ws,321665,0,0,0,0,0,0,0,0,0,0,0
/m/04f85,141597,0,0,3981,0,452,0,0,0,0,0,0
/m/04g2r,1413600,11026,7143,1214,3666,6433,0,0,0,10558,4304,1196
/m/04gth,2394428,664,14410,888,4199,4966,1595,5832,9837,15075,10074,2072
/m/04h7h,5222563,1816,1024,224,1452,1360,284,344,0,29078,63306,1068
/m/04h8sr,228380,769,164,0,0,0,0,236,0,288,444,216
/m/04jph85,1262021,0,3712,0,0,7348,0,0,0,364,5540,1992
/m/04kkgm,8661579,61275,150087,70315,14271,70499,334507,8109,4944,75389,186259,56948
/m/04m6gz,27990397,2550,3751,1776,5136,8308,660,864,244,5156,44872,13636
/m/04m9y,2589386,61083,26570,32738,19500,220044,3188,4146,3073,17116,11500,9762
/m/04p0qw,1675459,0,0,0,0,6848,0,0,0,0,0,0
/m/04rmv,14188915,145258,42739,114413,97419,18294,1400,9846,2886,42881,1478639,63147
/m/04s8yn,15344843,464157,15109,3663,8181,23082,0,436,2349,95556,201888,4640
/m/04v6l4,5367044,2388,0,0,0,0,0,0,0,0,0,0
/m/04vv5k,68335,0,0,0,0,0,707,0,0,232,0,928
/m/04yqq2,2862956,6446,524,1326,164,472,282,292,260,800,21943,476
/m/04zpv,36564863,40220,85443,9187,2281,18444,13191,7976,13307,36442,217178,29609
/m/04zwwv,818581,3024,1808,0,0,584,0,0,0,360,0,0
/m/050gv4,411226161,542331,242119,57366,22332,62359,22013,12997,6528,132108,550207,165365
/m/050k8,10481558,2816,576,0,0,704,0,2760,368,620,576,0
/m/052lwg6,2332502,0,0,962,0,0,0,0,0,0,568,0
/m/052sf,8333219,93544,6368,55180,4206,9739,8480,6014,7258,24780,159013,13440
/m/053wn,37766305,33506,187224,28258,1988,1160416,4167,8536,19250,68064,777155,1460266
/m/05441v,382606,1296,1062,0,0,196,0,0,0,252,1410,788
/m/05676x,346279,0,576,0,0,0,0,960,408,378,0,0
/m/057cc,28880,0,0,0,0,0,0,0,0,0,0,0
/m/0584n8,245883,78445,1216,21190,988,968,0,476,0,2804,740,1404
/m/058qzx,789117,0,0,0,0,0,0,0,0,0,0,0
/m/05bm6,3838,0,0,0,0,0,0,0,0,0,0,0
/m/05ctyq,2053902,1464,808,0,880,13960,3296,3160,600,2284,8760,23488
/m/05gqfk,8336808,206312,45920,9708,3280,33504,7658,11320,648,9700,116673,20192
